adm1 identifier,report,log10 of population,surveillance quality,temperature suitability index,rainfall delayed by one month,interaction of the temperature suitability index and rainfall delayed by one month,EVI
BDI16,0,5.353201176,2.152947454,5.643683113,2.706008081,12.88604637,0.350425431
BDI17,0,5.449933636,2.152947454,5.3839142,2.62413076,11.82894647,0.349275611
BDI2,0,5.467185769,2.152947454,9.92734379,2.403678003,23.44620439,0.011485039
BDI3,0,5.609026255,2.152947454,5.947348696,2.480375963,13.38346764,0.408873022
BDI4,0,5.603484448,2.152947454,5.262294401,2.631049655,12.33151196,0.411797726
BDI5,0,5.189146415,2.152947454,5.79923684,2.449752789,12.06391023,0.367811162
BDI6,0,5.551521332,2.152947454,6.746938629,3.029128711,18.39759761,0.409589496
BDI7,0,5.763211535,2.152947454,4.77023618,2.592806639,10.74268944,0.346845813
BDI8,0,5.54650691,2.152947454,5.031178776,2.598181904,11.59689846,0.365692101
BDI9,0,5.6289511,2.152947454,4.364155182,2.712970029,10.58481598,0.381877539
BEN1,1,5.410117213,1.372704237,36.12169222,2.740978082,77.77499869,0.287565105
BEN10,0,5.572796574,1.372704237,26.14711447,3.177361609,79.90010612,0.249318232
BEN11,0,5.323384735,1.372704237,25.80635885,3.347134225,81.63065287,0.353373778
BEN12,0,5.485461075,1.372704237,26.21602064,3.159712981,76.45555033,0.318023248
BEN2,1,5.397751312,1.372704237,31.65097241,3.166887994,80.98963308,0.298460324
BEN3,0,5.611499499,1.372704237,26.91063438,3.037972216,78.88075994,0.240054036
BEN4,1,5.511208518,1.372704237,29.06969351,3.021150043,72.29745734,0.305936399
BEN5,0,5.445059833,1.372704237,26.27903521,2.898317547,66.97143402,0.314937852
BEN6,0,5.218145689,1.372704237,26.59306837,3.172543103,71.09719555,0.278753296
BEN7,0,5.386835394,1.372704237,25.68668324,3.096082107,74.98678709,0.353546702
BEN8,0,5.519207512,1.372704237,30.02769843,3.064931356,89.4661621,0.084216016
BEN9,0,5.350831051,1.372704237,25.01666012,2.773968771,66.31117037,0.366749658
BFA1,0,4.944634147,4.933594794,34.53934169,2.485446268,70.07296895,0.255509329
BFA10,0,5.001637453,4.933594794,31.49290674,2.431788175,62.59186515,0.248234728
BFA11,0,5.370646271,4.933594794,32.28875013,2.659644263,73.16354947,0.245277574
BFA12,0,4.824026216,4.933594794,30.30556957,2.663188479,67.3988771,0.249447061
BFA13,0,5.789137615,4.933594794,42.99802427,2.199595338,79.10009917,0.166457819
BFA14,0,5.062138702,4.933594794,30.40366957,2.828468101,72.0583029,0.28259425
BFA15,0,5.166331371,4.933594794,28.71122881,2.58918575,64.24909045,0.300559638
BFA16,0,4.499840452,4.933594794,29.21551192,2.195837962,54.66338741,0.234514404
BFA17,0,4.520848629,4.933594794,35.36153538,2.629315405,74.31519299,0.253095063
BFA18,0,4.975016934,4.933594794,41.86826896,2.246876745,78.49063353,0.219275546
BFA19,0,4.984807498,4.933594794,35.15953957,2.598481484,75.76364889,0.245339891
BFA2,0,5.160873415,4.933594794,35.00779554,1.969755846,61.13738649,0.177137864
BFA20,0,5.152540409,4.933594794,36.65472654,2.288036518,71.78316418,0.214863216
BFA21,0,4.762732708,4.933594794,34.4944651,2.263384642,65.12744314,0.21250556
BFA22,1,4.654516162,4.933594794,27.13267183,2.648898303,61.35597665,0.290491314
BFA23,0,4.857708781,4.933594794,41.2884102,1.804550979,71.95216083,0.149811921
BFA24,1,5.050608304,4.933594794,35.13229687,2.490840943,70.23238023,0.243914333
BFA25,0,4.756480291,4.933594794,31.15757644,2.631265638,63.33083391,0.262385451
BFA26,0,5.232266846,4.933594794,37.52046832,2.041927308,67.46981307,0.189036485
